graph_id,neato_xing,sfdp_xing,smartgd_xing,diff_gd_xing
grafo8471.89,59,55,65.0,48
grafo10164.98,131,116,127.0,97
grafo1864.18,0,0,0.0,0
grafo3801.43,8,11,11.0,7
grafo3836.53,98,85,99.0,72
grafo9392.71,46,38,45.0,39
grafo8551.85,143,135,138.0,104
grafo1946.31,2,2,2.0,2
grafo7477.48,45,36,31.0,36
grafo938.10,0,0,1.0,0
grafo6263.44,40,39,43.0,29
grafo6786.45,43,36,39.0,35
grafo11245.92,38,33,39.0,27
grafo9912.31,5,8,5.0,4
grafo11288.93,26,29,31.0,18
grafo8524.75,19,29,20.0,16
grafo219.11,0,0,0.0,0
grafo11534.91,71,70,75.0,56
grafo1478.56,9,9,10.0,8
grafo8220.96,40,26,42.0,33
grafo7322.58,47,36,34.0,38
grafo649.14,9,4,8.0,5
grafo5514.39,8,7,10.0,7
grafo8575.86,87,79,85.0,70
grafo864.16,3,3,2.0,2
grafo9339.83,75,51,65.0,60
grafo9626.83,79,79,71.0,58
grafo8404.69,69,60,75.0,57
grafo8708.96,43,48,57.0,34
grafo3333.51,26,32,22.0,17
grafo4811.62,18,16,19.0,16
grafo3442.52,25,23,20.0,22
grafo9018.85,95,77,82.0,83
grafo5254.45,8,7,7.0,7
grafo4315.59,34,34,38.0,29
grafo3190.53,68,68,66.0,58
grafo580.29,9,9,10.0,7
grafo9545.75,29,26,28.0,20
grafo486.13,0,0,0.0,0
grafo1218.26,0,0,0.0,0
grafo2144.12,5,6,3.0,4
grafo8879.92,58,59,55.0,51
grafo2962.33,2,1,1.0,1
grafo8735.60,58,74,57.0,50
grafo199.13,1,3,0.0,0
grafo242.14,0,0,0.0,0
grafo6703.52,31,19,24.0,20
grafo6957.39,20,24,25.0,17
grafo11070.94,121,142,130.0,92
grafo5520.35,8,8,8.0,8
grafo4562.60,41,44,41.0,35
grafo612.11,0,0,0.0,0
grafo3101.11,0,1,0.0,0
grafo10381.99,115,80,89.0,87
grafo4080.37,40,31,32.0,26
grafo8815.87,40,52,39.0,36
grafo1067.13,0,0,0.0,0
grafo5843.38,4,2,5.0,2
grafo520.14,5,3,5.0,3
grafo4914.54,30,35,30.0,25
grafo9304.65,52,48,60.0,42
grafo11433.92,131,134,140.0,103
grafo2478.47,31,24,17.0,26
grafo10131.98,85,68,77.0,67
grafo11404.92,68,80,61.0,59
grafo7287.43,29,34,27.0,21
grafo4598.61,41,40,37.0,34
grafo7248.41,10,7,12.0,8
grafo7011.64,22,17,24.0,17
grafo4979.68,53,66,63.0,44
grafo8022.80,64,51,57.0,54
grafo7026.42,23,10,16.0,21
grafo4954.81,28,34,28.0,20
grafo2791.15,0,0,0.0,0
grafo9320.66,49,54,50.0,37
grafo852.19,1,1,1.0,1
grafo11366.92,70,57,68.0,56
grafo10826.93,95,80,83.0,71
grafo3058.42,12,18,12.0,9
